,pakistan,irish,mexican,chinese,german,mediterranean,japanese,moroccan,southern_soulfood,belgium,austria,asian,southwestern,west-african,canada,caribbean,bangladesh,vietnamese,south-african,indian,east_asian,english_scottish,easterneuropean_russian,turkey,israel,iran,jewish,east-african,french,central_southamerican,western,middleeastern,thai,north-african,korean,eastern-europe,lebanon,netherlands,malaysia,philippines,indonesia,spanish_portuguese,scandinavian,greek,american,cajun_creole,african,switzerland,italian
pakistan,1.0,0.0,0.504586031202,0.0,0.0,0.0,0.0,0.546643447381,0.0,0.0,0.0,0.0,0.0,0.550401252691,0.0,0.0,0.606728538283,0.0,0.0,0.680520648482,0.0,0.0,0.0,0.49440908309,0.0,0.0,0.0,0.499094905612,0.0,0.0,0.0,0.0,0.0,0.60356321391,0.0,0.0,0.0,0.0,0.509428950863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568096900021,0.0,0.0
irish,0.0,1.0,0.0,0.0,0.66690065981,0.0,0.0,0.0,0.625421219034,0.0,0.0,0.0,0.0,0.0,0.616253732548,0.0,0.0,0.0,0.0,0.0,0.0,0.750309136987,0.681494293933,0.0,0.0,0.0,0.0,0.0,0.6465407317,0.0,0.591744032895,0.0,0.0,0.0,0.0,0.664357676772,0.0,0.0,0.0,0.0,0.0,0.0,0.655176968607,0.0,0.631298504687,0.0,0.0,0.0,0.0
mexican,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.571492244666,0.0,0.0,0.0,0.789641461242,0.0,0.580583511328,0.680955576223,0.0,0.0,0.0,0.575169610147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781053378683,0.0,0.0,0.0,0.583534303249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61724560357,0.0,0.0,0.566285617571,0.61374799433,0.0,0.0,0.0
chinese,0.0,0.0,0.0,1.0,0.0,0.0,0.648535449392,0.0,0.0,0.0,0.0,0.761647230626,0.0,0.0,0.0,0.507532555797,0.0,0.57526912664,0.0,0.0,0.666987946565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583226496376,0.0,0.640533855748,0.0,0.0,0.0,0.0,0.58580293875,0.56812826849,0.0,0.0,0.0,0.0,0.495973171631,0.0,0.0,0.0
german,0.0,0.66690065981,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685170398645,0.0,0.0,0.0,0.0,0.0,0.0,0.750767291898,0.716993163356,0.0,0.0,0.0,0.669180428762,0.0,0.0,0.0,0.654939562133,0.0,0.0,0.0,0.0,0.761317531792,0.0,0.0,0.0,0.0,0.0,0.0,0.727959999401,0.0,0.701814082092,0.0,0.0,0.654033932113,0.0
mediterranean,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.646539238233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6054049225,0.605061141622,0.0,0.71521122708,0.0,0.605077628385,0.0,0.0,0.598250322961,0.0,0.0,0.0,0.0,0.721597799382,0.0,0.794910036403,0.0,0.0,0.634442447449,0.0,0.706258852562
japanese,0.0,0.0,0.0,0.648535449392,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.68624525747,0.0,0.0,0.457777899166,0.0,0.0,0.530285809794,0.0,0.0,0.664073586034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458503798948,0.0,0.510787090125,0.0,0.6302854846,0.0,0.0,0.0,0.0,0.545076307187,0.483002509697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moroccan,0.0,0.0,0.0,0.0,0.0,0.646539238233,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616551204383,0.0,0.0,0.0,0.0,0.0,0.0,0.565855447311,0.0,0.0,0.550940933224,0.0,0.744388755086,0.0,0.75766590003,0.0,0.0,0.549672100431,0.0,0.0,0.0,0.0,0.607632395589,0.0,0.602244666323,0.0,0.0,0.818882009657,0.0,0.0
southern_soulfood,0.0,0.625421219034,0.0,0.0,0.635131892985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.72009393715,0.0,0.0,0.0,0.0,0.0,0.0,0.666344179662,0.662156694485,0.0,0.0,0.0,0.0,0.0,0.680126924963,0.0,0.676974137866,0.0,0.0,0.0,0.0,0.660292598904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745826700275,0.625194820188,0.0,0.0,0.0
belgium,0.0,0.558684534214,0.0,0.0,0.603416729262,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.570231830963,0.522959824794,0.0,0.0,0.0,0.0,0.0,0.518818755831,0.0,0.519281906746,0.0,0.0,0.0,0.0,0.530704757408,0.0,0.641488372093,0.0,0.0,0.0,0.0,0.537422784083,0.0,0.0,0.0,0.0,0.591273374889,0.0
