"","EWS.T1","EWS.T2","EWS.T3","EWS.T4","EWS.T6","EWS.T7","EWS.T9","EWS.T11","EWS.T12","EWS.T13","EWS.T14","EWS.T15","EWS.T19","EWS.C8","EWS.C3","EWS.C2","EWS.C4","EWS.C6","EWS.C9","EWS.C7","EWS.C1","EWS.C11","EWS.C10","BL.C5","BL.C6","BL.C7","BL.C8","BL.C1","BL.C2","BL.C3","BL.C4","NB.C1","NB.C2","NB.C3","NB.C6","NB.C12","NB.C7","NB.C4","NB.C5","NB.C10","NB.C11","NB.C9","NB.C8","RMS.C4","RMS.C3","RMS.C9","RMS.C2","RMS.C5","RMS.C6","RMS.C7","RMS.C8","RMS.C10","RMS.C11","RMS.T1","RMS.T4","RMS.T2","RMS.T6","RMS.T7","RMS.T8","RMS.T5","RMS.T9","RMS.T3","RMS.T10","RMS.T11"
"25725",0.0681,0.071,0.116,0.1906,0.2367,0.0823,0.1234,0.1805,0.0792,0.252,0.1056,0.0966,0.1599,0.1971,0.1921,0.0893,0.0925,0.1775,0.1661,0.0564,0.0873,0.0956,0.143,0.0839,0.1283,0.0994,0.0494,0.0563,0.0557,0.064,0.1203,0.2242,0.1277,0.1423,0.0817,0.2167,0.1268,0.0779,0.1264,0.1296,0.0573,0.1279,0.1944,0.0713,0.3476,0.2839,0.1657,0.3377,0.3585,0.1631,0.924,0.0672,1.0272,1.382,1.2855,0.9137,0.391,0.5502,1.9247,0.524,0.5169,0.4657,0.777,0.7067
"193913",0.3945,0.2986,0.2757,0.2607,0.4046,0.3874,0.4294,0.2663,0.2289,1.1837,0.3432,0.6233,0.3938,0.1677,0.4384,0.19,0.1061,0.3077,0.2772,0.288,0.3149,0.5057,0.2666,2.1557,1.9916,1.7072,1.3449,2.4256,0.5152,1.2705,2.4757,0.5874,0.1506,0.6379,1.3945,0.1637,0.0866,0.2528,1.6905,1.0044,1.6243,0.8193,1.6871,0.2744,0.6256,0.5437,0.7847,0.337,0.2388,0.1472,0.0669,0.4103,0.1943,0.322,0.2859,0.182,0.5108,0.3257,0.5532,0.36,2.3575,0.2211,0.2042,0.2011
"725454",0.9519,1.6803,0.5023,1.8803,1.0723,0.5693,1.9055,0.6207,0.8557,0.1833,0.4836,1.0018,0.4689,2.3034,2.6477,2.9628,0.8178,1.6789,1.6257,1.6789,3.1987,1.7927,2.2261,2.1298,2.492,2.6098,3.5663,3.6281,2.0451,2.4917,3.1696,1.7092,2.7605,2.2014,1.026,1.5297,0.8604,1.0856,2.2653,2.1437,1.6142,1.724,1.9099,0.5451,1.9084,2.2656,0.7996,1.0344,0.7917,2.4525,1.424,1.821,0.7169,0.9349,0.7995,1.0298,0.5463,0.1441,0.5946,1.1033,0.4889,0.812,0.613,1.6018
"297392",0.5016,0.3463,0.2993,3.3786,0.7828,0.3744,0.5708,0.2372,0.6252,0.7807,0.4355,0.4437,0.274,0.7392,0.3497,0.5573,0.5571,0.1503,0.1458,0.2799,0.1583,1.0083,0.4121,3.7836,1.8267,2.3885,3.4541,2.2772,1.8296,2.8433,0.7906,0.1445,2.4865,0.3701,0.1391,0.4505,1.5772,0.1101,0.1936,0.2209,0.3946,0.2774,0.1208,0.101,0.4883,0.4199,0.2751,0.2915,0.3189,0.6816,0.1896,0.2404,0.3642,0.8399,0.4134,0.4752,0.3289,0.2606,0.3174,0.3915,1.3548,1.3934,0.2048,0.5304
"236282",0.1844,0.2833,0.2713,0.3253,0.2585,0.2248,0.4035,0.3533,0.1493,0.2142,0.1557,0.1942,0.3654,0.3325,0.1205,0.1557,0.3315,0.5093,0.4954,0.1288,0.2411,0.1331,0.189,0.7904,0.9508,1.3086,1.3896,0.7992,0.8609,0.9478,1.2604,0.1603,0.2011,0.2589,0.0713,0.0974,0.1823,0.3159,0.1511,0.2412,0.0364,0.1992,0.0756,0.5158,0.2974,0.2744,0.1735,0.1511,0.136,0.2693,0.162,0.0756,0.1011,0.2649,0.2956,0.5903,0.1521,0.1647,0.2031,0.3699,0.6159,0.2915,0.1499,0.1745
"298062",0.105,0.1067,0.1596,0.4292,0.2012,0.2316,0.3942,0.2386,0.1409,0.2241,0.1773,0.1178,0.1411,0.1305,0.1287,0.1039,0.1044,0.2038,0.1937,0.1643,0.0631,0.2151,0.0965,0.1743,0.2164,0.2454,0.1338,0.1298,0.2077,0.1487,0.1601,0.2045,0.144,0.29,0.0714,0.1419,0.1228,0.1462,0.1409,0.5064,0.1064,0.1568,0.1587,0.4333,0.7375,0.3783,0.9099,2.2874,0.7702,1.4266,0.1951,1.2114,0.0904,4.2891,2.9901,2.8429,0.5941,3.4461,1.8771,6.5587,0.3587,3.0204,0.5617,1.3591
"284001",0.4805,0.786,0.3691,0.2876,0.6523,0.3556,0.8887,0.3601,0.197,1.1295,0.367,0.3499,0.6692,0.7328,0.4324,0.253,1.2152,1.3612,1.2733,0.3,0.6933,0.9363,1.6493,0.2175,0.1694,0.0979,0.1067,0.1644,0.1959,0.1314,0.1287,0.7595,0.5107,1.081,0.3326,0.15,0.6027,0.4699,0.7388,0.427,2.5584,1.0733,0.4208,0.1196,0.3149,0.117,1.382,0.1317,0.229,0.3776,0.9113,0.1296,2.1217,0.4493,3.9167,0.5027,5.6706,0.7311,2.8962,1.1653,1.2448,1.0065,5.1827,6.9794
"283315",0.416,0.6563,0.5589,0.3437,0.3238,0.3646,0.5757,0.3714,0.3485,0.2638,0.1571,0.2047,0.7366,1.0801,0.8744,1.5329,0.3456,0.6059,0.5622,0.466,0.3234,0.7081,0.564,0.8792,0.9426,1.4504,2.2569,3.2467,1.4255,2.4942,1.8408,0.928,1.6278,1.1939,0.5372,0.2791,0.6847,0.5596,0.8636,0.3104,0.4338,0.5742,0.5928,0.1308,0.4269,0.2917,0.2974,0.1423,0.4542,0.5538,0.316,0.3107,0.2551,0.42,0.3616,0.3897,0.0673,0.1171,0.2155,0.3005,1.3305,0.2978,0.1266,0.5913
"897177",0.2611,0.9643,0.8284,0.565,0.3381,0.4727,0.4593,0.364,0.3734,0.2968,0.1686,0.141,0.7646,0.4673,0.6357,0.9534,0.9971,0.5802,0.52,0.3304,0.4339,0.8483,0.4183,1.1682,0.7749,1.2275,0.9631,3.6589,1.3171,1.4656,1.1359,1.0069,1.5158,1.015,1.0715,0.3275,1.1984,0.7187,0.4128,0.2723,0.5382,0.6925,0.668,0.4145,0.394,0.1663,0.4318,0.1672,0.4546,0.2648,0.1661,0.2334,0.3341,0.2456,0.2499,0.3453,0.288,0.263,0.1962,0.3076,1.3388,0.4183,0.1353,0.1308
"755750",0.1122,0.2604,0.135,0.2892,1.0936,0.388,0.5115,0.3436,0.2569,0.7502,0.1595,0.2317,0.2803,0.186,0.8253,0.073,0.0871,1.0646,0.9332,0.2659,0.1166,0.3104,3.8238,0.1463,0.1531,0.1992,0.1483,0.1098,0.1431,0.1006,0.1035,0.1724,0.1353,0.2849,0.1786,0.8598,0.0803,0.139,0.198,0.5003,0.2676,0.1127,0.4088,0.1181,1.6313,1.8508,0.9927,1.7944,0.7152,3.4625,0.6751,2.8811,0.6491,0.6968,0.6808,0.9032,0.2293,0.866,1.4607,0.891,0.7654,0.5356,2.9007,5.1062
"769716",0.2024,0.1341,0.2384,0.2152,0.2434,0.1509,0.3686,0.2826,0.1814,0.3695,0.1405,0.1805,0.191,0.1203,0.0471,0.0597,0.2349,0.1056,0.103,0.1537,0.0359,0.0551,0.0523,0.1291,0.0964,0.1326,0.1182,0.1252,0.1921,0.2123,0.1671,0.0666,0.148,0.1429,0.0239,0.0505,0.0576,0.0658,0.088,0.0907,0.0587,0.0674,0.0477,0.2345,0.8541,1.4964,1.0397,0.417,0.2638,0.2039,0.2962,0.2921,1.2693,0.4749,0.9996,0.7752,0.7534,0.3523,0.2992,0.6893,0.6804,1.081,0.3521,0.7113
"296448",0.1031,0.1874,0.8495,0.3268,0.2642,0.2582,0.5286,0.2313,0.2128,4.7662,0.3677,0.4004,0.1646,0.0465,0.1044,0.0943,0.1032,0.1353,0.1217,0.0563,0.0325,0.099,0.0568,0.1056,0.0415,0.1059,0.093,0.1195,0.1539,0.1081,0.1736,3.8588,2.8489,8.8936,0.0365,0.0183,0.618,0.3828,0.1774,1.6303,0.3314,0.196,1.5315,11.298,4.522,1.8541,2.5931,5.6281,5.0913,6.2024,4.1723,3.7408,3.0237,6.8708,7.9928,5.0664,11.454,0.7828,10.95,11.037,4.6175,7.0874,5.3703,19.111
"435953",0.8073,0.4936,0.5529,0.2979,0.3134,0.4927,1.2531,0.3612,0.658,0.8497,1.3548,0.5851,0.5911,1.3879,0.5617,0.4028,0.5528,0.6987,0.6981,1.0723,0.0649,0.5142,1.2809,1.9633,1.2699,2.696,1.3916,0.9213,1.2239,0.6647,1.0755,0.2893,0.5025,0.2469,0.1683,0.2666,0.4453,0.2674,0.27,0.1985,0.2714,0.1765,0.181,0.2429,0.4037,0.158,0.7499,0.2676,0.2662,0.3083,0.3411,0.1541,0.6808,0.2355,0.2929,0.2177,0.2396,0.3587,0.4052,0.4195,0.856,0.2191,0.1738,0.1829
"343867",0.4206,0.4973,0.5676,0.6207,0.4359,0.2895,0.4683,0.3769,0.2856,2.1156,0.6193,0.2452,0.4718,0.1764,0.1656,0.0886,0.1138,0.6976,0.6412,0.3339,0.0427,0.4071,0.1086,0.2225,0.165,0.1796,0.1451,0.2614,0.1205,0.1577,0.5308,0.0807,0.2249,0.2597,0.4571,0.0822,0.9627,0.043,0.0607,0.2363,0.2081,0.0438,0.1017,0.1801,0.376,0.7021,0.9751,0.3196,0.1848,0.0997,0.0775,0.7649,0.0739,0.5335,0.7187,0.3128,0.799,0.7607,1.3448,0.4803,2.133,0.2762,0.3559,11.59
"365515",0.1568,0.2172,0.2026,0.5799,0.5686,0.5199,0.3453,0.3865,0.4913,1.142,0.3176,0.5649,0.5113,0.0631,0.053,0.095,0.1434,0.1272,0.115,0.1346,0.0548,0.0426,0.0443,0.1211,0.0687,0.0628,0.1362,0.085,0.0911,0.1192,0.096,0.0674,0.1583,0.1977,0.1736,0.0647,0.1657,0.1272,0.2293,0.0835,0.0984,0.1723,0.0657,2.6518,1.7121,0.2448,0.1875,0.5573,0.3178,0.7985,0.1094,0.4081,0.1691,1.2296,0.2312,0.4572,0.7873,1.8113,0.6382,0.7526,3.0899,0.2248,0.3386,0.2911
"769959",1.8107,1.3575,2.1811,1.1173,1.2261,0.4678,1.5802,0.5892,0.4915,3.3689,0.4225,0.9742,1.0697,0.7177,0.7648,0.1288,0.2753,0.365,0.3841,0.2804,0.1665,0.2681,0.7206,0.1829,0.1667,0.174,0.179,0.1383,0.1917,0.1049,0.1711,0.845,0.1182,0.3586,0.7642,0.7836,0.2386,0.6826,0.7983,0.1659,0.9287,0.4946,0.655,0.1246,2.2916,2.8619,1.7077,0.7456,0.3578,2.3324,1.7125,1.7727,1.7027,1.6964,4.4664,2.3011,1.2365,0.7173,3.0055,1.9171,2.7865,0.947,2.7061,0.5064
