,vietnamese,indian,spanish_portuguese,jewish,french,central_southamerican,cajun_creole,thai,scandinavian,greek,american,african,middleeastern,easterneuropean_russian,italian,irish,mexican,chinese,german,mediterranean,japanese,moroccan,southern_soulfood,english_scottish,asian,southwestern,east_asian,western,korean,canada,turkey,caribbean,bangladesh,israel,iran,eastern-europe,south-african,belgium,netherlands,philippines,indonesia,east-african,switzerland,west-african,north-african,pakistan,lebanon,malaysia,austria
vietnamese,1.1102230246251565e-16,0.40965478225600516,0.45440433248483314,0.5897674719963508,0.6050263176260398,0.3714729273254793,0.41041009718678434,0.10542797940373871,0.7694310879573416,0.5948413443447514,0.5554067230854671,0.42268662785264277,0.49219822880463737,0.6420563212035417,0.5498854449683842,0.7103969542022399,0.3908984552912361,0.31653055138854336,0.7139418360002461,0.5254680950817321,0.3382576065101994,0.5072071297819791,0.5847168573749175,0.7341523593125077,0.16544209873891902,0.3684720472556088,0.29498941296324976,0.5898690332042598,0.2953848901851691,0.5119040002872439,0.5304349784809865,0.3277253411822164,0.4576362571388549,0.6677818467512007,0.4610920152877286,0.6255054380492182,0.6329661472472841,0.7770921285166491,0.8463761974429086,0.34172283525722447,0.3245405157213036,0.4434749438722385,0.7787375353883546,0.47511232923037683,0.4595146601646193,0.3883141270524736,0.540715514182297,0.411371668950543,0.8675791858173345
indian,0.40965478225600516,0.0,0.392494151419409,0.46629357134164895,0.5252658924785574,0.2635649216933117,0.37288821673677397,0.24259290342226203,0.6234898399684836,0.528201020968867,0.44695354548896693,0.17074015636892437,0.28811228866840755,0.5249514145583953,0.5285807585208999,0.610247252477671,0.2877634073270121,0.49272940988546887,0.5812071261806946,0.45987703313013595,0.5700274671313492,0.23945524102327942,0.47793671981299457,0.6006253100409202,0.36768850215421156,0.2873298645432837,0.5235597739346082,0.4968463248241537,0.5344339221470733,0.38935599191048653,0.39163148401273773,0.23896473810700325,0.2118675631131779,0.4878563927233812,0.3027471954087254,0.508242554655037,0.2863595670065835,0.6735168937209325,0.7036991151680939,0.4355930993589593,0.36490186055700413,0.1952117214131266,0.6410604220264926,0.2990336034774983,0.16724271890840048,0.07776960190635651,0.45612213451490846,0.1507442145351704,0.7534399048312369
spanish_portuguese,0.45440433248483314,0.392494151419409,0.0,0.2965301515384682,0.24876174239606097,0.12998369179059688,0.171694087666191,0.4639376037923929,0.5214757463138091,0.1611290403987563,0.2740741612478431,0.1606070472758684,0.1682843087613206,0.3139937115933732,0.1498012709853711,0.47952982800690247,0.2241568270701929,0.5108235057585238,0.4307855055133366,0.09118819414200707,0.5461851112815059,0.21120284807232848,0.3127984905944259,0.4594357797660129,0.4715824397782302,0.2248688964572476,0.5155800769328196,0.30291549265376116,0.5335993794964156,0.2476675083931783,0.17747068491909046,0.1470339096300861,0.516592541632545,0.4522356879330095,0.3288624330107396,0.3204531487931278,0.4771752880269253,0.5375786568307588,0.6220497095813693,0.3368353563553438,0.3643123442463616,0.3433802012547831,0.5280718023804752,0.2877343342343335,0.17815847940473983,0.36376438919181064,0.24138983576213113,0.4079941355031159,0.6205440487331209
jewish,0.5897674719963508,0.46629357134164895,0.2965301515384682,1.1102230246251565e-16,0.13166727084964713,0.29980007046703305,0.3316372244901953,0.5883171348999476,0.17072177687948742,0.3249220439142011,0.11334514447998056,0.2770767017658917,0.2586914525637384,0.11917069751978793,0.32363809382400166,0.20203524116565297,0.4419124018780144,0.5453613432271079,0.12121881167803183,0.32398231360465235,0.525816530022531,0.3230667468596845,0.20528860751359446,0.16491099945150234,0.5582396710242213,0.45977274346228714,0.5651209127924695,0.14048314168524034,0.5935731233618764,0.13142818652372568,0.3069941279575601,0.3162644900986433,0.5750631186231059,0.21456570220957194,0.41885156447656524,0.13103648711248528,0.3818872963801707,0.24063386468830983,0.22639165803142003,0.34260122990910813,0.4098918061777156,0.389523308829004,0.23020336615768766,0.5017299193171753,0.28737969176032785,0.5179651510298966,0.38231733035543214,0.44515935504592863,0.2330379506223874
french,0.6050263176260398,0.5252658924785574,0.24876174239606097,0.13166727084964713,2.220446049250313e-16,0.28572649224191604,0.28838850313610453,0.6209330353067672,0.14864129525123715,0.2903183875585935,0.07606001260116146,0.333521039612546,0.28677628175658987,0.06756004214275568,0.21624821857545473,0.15032352554696438,0.4392978630315124,0.5923501569750904,0.14038887321543536,0.28022377500297113,0.5704112162878776,0.3952762501613988,0.12602171014398278,0.11072320926728463,0.590798905386326,0.4640724854701187,0.6132454635403954,0.10883523427386155,0.6362341321367493,0.10096090121244694,0.28933548468103243,0.3358820023810839,0.6735888109705568,0.27053181140150984,0.47223931614240056,0.12392132302039105,0.3990562657226653,0.22413598149167557,0.26885214093218257,0.3562747544542786,0.4407795188652862,0.46790925385124427,0.20645808193773674,0.5503055524765641,0.36470382512729116,0.5799089198255163,0.38601174467108723,0.5026993088796787,0.22206660827636182
central_southamerican,0.3714729273254793,0.2635649216933117,0.12998369179059688,0.29980007046703305,0.28572649224191604,0.0,0.17342536810764253,0.3557639049347663,0.4752834378483991,0.30487515695842693,0.22332603098723014,0.16695225806332736,0.21527126947169795,0.29767901843360456,0.25060795587703477,0.43530372354432556,0.0530698889890594,0.46311653156677746,0.3923896245188083,0.24622706113022896,0.5356845701189892,0.2477647915667598,0.24008674367096883,0.4050705299524361,0.4082003520034113,0.06351579018746223,0.45387554505343297,0.2713474207735205,0.4678637183291239,0.1938575290566933,0.21332473280584552,0.10101668952456733,0.3816935674846449,0.40153945318401574,0.2977209719322237,0.2817571225883133,0.39615439747570447,0.519508366957853,0.5585144892214278,0.30538376878631646,0.26299275759588747,0.2681295243366947,0.47232450849804886,0.2397374124934648,0.16482120445136728,0.2628003667573393,0.32681424924881,0.32505540603516214,0.5627843652236924
cajun_creole,0.41041009718678434,0.37288821673677397,0.171694087666191,0.3316372244901953,0.28838850313610453,0.17342536810764253,0.0,0.4218614417923887,0.4914813660989751,0.3454812913089783,0.25592557866908683,0.2629613940541733,0.29925780477713604,0.31822283770791937,0.2976613352872668,0.4167376263512236,0.1996524247778687,0.43085175757337035,0.4030912513791073,0.30892679803596956,0.47362303210932755,0.3675120481685705,0.2183547506547081,0.42921229065608213,0.40156479438752835,0.2350847205521711,0.41306577358185514,0.3025599343643327,0.427963119073559,0.21958255225555912,0.26749838609951004,0.15602498058999614,0.42717184210026504,0.4617895980281247,0.3864916283439046,0.2987996621084028,0.44323481080422966,0.46843188273266523,0.5891680510031839,0.29634155143185703,0.2784507370798719,0.32822368829886095,0.5045898496719642,0.27528949008253123,0.2645942932420585,0.37104508048550267,0.37841536965405165,0.4116436290914287,0.6036836888643821
thai,0.10542797940373871,0.24259290342226203,0.4639376037923929,0.5883171348999476,0.6209330353067672,0.3557639049347663,0.4218614417923887,0.0,0.7608334466743918,0.6211018120816045,0.5499884787719381,0.3401397927392076,0.45113948173473606,0.6668777559028669,0.5822105247047035,0.7277380012616763,0.3817447347239211,0.29918358593740824,0.7209253269951017,0.5379615866043392,0.36769636802641326,0.4203650564618482,0.5774140986970225,0.7361229226848316,0.13400829549886883,0.34632887007913493,0.34527236925676896,0.607705409151305,0.3497945191996539,0.4990977201740734,0.5407049492930562,0.29484235501683265,0.4214956900399539,0.6138287139251077,0.4726837040970976,0.6479415697580662,0.5368691589883566,0.7938256395516636,0.8255160767102139,0.38083784414238897,0.28054394733949717,0.38286819018962803,0.7837962484310729,0.3979699773721307,0.3753451938499701,0.30893662985144765,0.5676094545984648,0.21561265164291588,0.8681216970393265
scandinavian,0.7694310879573416,0.6234898399684836,0.5214757463138091,0.17072177687948742,0.14864129525123715,0.4752834378483991,0.4914813660989751,0.7608334466743918,1.1102230246251565e-16,0.5494274754538048,0.12429427147796734,0.5256064576731401,0.4927837096379428,0.09841850968281729,0.5018126861031389,0.11619022125363743,0.6237264289950493,0.6899413221939048,0.06904243949302502,0.591590518307044,0.6251318188426206,0.5779187670606081,0.17587806655890614,0.05192393114517524,0.7069814757748574,0.6599760181554429,0.7208241936815335,0.1468828944321433,0.7484223569390827,0.16343449729901427,0.4619032848810607,0.5350165716483899,0.7405864436065879,0.27523583518612393,0.6188851079579117,0.12244044264655585,0.39643984025027745,0.1573976556515383,0.09195939280908672,0.4775005121614755,0.5878699305802735,0.5708913056021762,0.13876385249786338,0.7348762959488826,0.5457088728118287,0.7099420432194314,0.6315829382468483,0.6022728921596223,0.09905868871514412
greek,0.5948413443447514,0.528201020968867,0.1611290403987563,0.3249220439142011,0.2903183875585935,0.30487515695842693,0.3454812913089783,0.6211018120816045,0.5494274754538048,1.1102230246251565e-16,0.3573198320641984,0.2516221353361775,0.13130425856039163,0.36820467629766584,0.16616045676119207,0.5419950552140863,0.40943565829463713,0.6478903801102233,0.4917492701670254,0.05465339436806882,0.642320898819846,0.24820805280451208,0.415178979210565,0.5074784401709387,0.608678009513036,0.3983980732873036,0.6387804581172095,0.3744820648373155,0.6514431621741685,0.3466972713872568,0.2737999105613538,0.31680845509170874,0.6851049065544983,0.4706316244373554,0.37885069812854777,0.4310756852507117,0.5949294083592459,0.5635029228962414,0.6404352546398077,0.4820994160604637,0.48649180098578004,0.45709269833277255,0.5619540074276554,0.4774243757040054,0.27653324763004794,0.5218754881349754,0.1689385298899745,0.5579147902552993,0.6515263614469489
